Title,Text,Subject,Date
Water Boils at 100 Degrees Celsius,"A well-established fact in physics, water boils at 100 degrees Celsius at sea level due to atmospheric pressure.",Fact,17-01-2024
Earth Orbits the Sun in Approximately 365.25 Days,"The Earth completes one orbit around the Sun approximately every 365.25 days, giving us our annual cycle of seasons.",Fact,17-01-2024
Great Wall of China Visible from Space,"While the Great Wall of China is not easily visible with the naked eye from space, it can be captured in satellite imagery under the right conditions.",Fact,17-01-2024
Vitamin C Essential for Human Health,"Vitamin C, found in fruits like oranges and strawberries, is crucial for maintaining good health and supporting the immune system.",Fact,17-01-2024
Eiffel Tower Completed in 1889,"The Eiffel Tower, located in Paris, France, was completed in 1889 and has since become an iconic symbol of the city.",Fact,17-01-2024
Photosynthesis is the Process of Converting Light into Energy,"Photosynthesis is the biological process through which plants convert light energy into chemical energy, producing oxygen as a byproduct.",Fact,18-01-2024
Mount Everest is the Tallest Mountain Above Sea Level,"Mount Everest, standing at 29,032 feet (8,848 meters), is the highest mountain above sea level. It is part of the Himalayan range.",Fact,18-01-2024
Honey Never Spoils,"Archaeologists have discovered pots of honey in ancient Egyptian tombs that are over 3,000 years old and still perfectly edible. Honey's natural composition prevents spoilage.",Fact,18-01-2024
Cheetahs Can Accelerate from 0 to 60 mph in Just a Few Seconds,"Cheetahs are known for their incredible speed and can accelerate from 0 to 60 miles per hour in just a few seconds, making them the fastest land animals.",Fact,18-01-2024
The Pyramids of Giza Were Built as Tombs for Pharaohs,The Pyramids of Giza in Egypt were constructed as tombs for Pharaohs during the Old Kingdom period. They remain iconic symbols of ancient Egyptian civilization.,Fact,18-01-2024
The Earth's Core is Primarily Composed of Iron and Nickel,"Scientists believe that the Earth's core is primarily composed of iron and nickel, contributing to the planet's magnetic field.",Fact,19-01-2024
Cows Have Best Friends,Research has shown that cows form strong social bonds and can have best friends within their herds. These friendships have been observed to reduce stress and improve well-being.,Fact,19-01-2024
The Amazon Rainforest Produces 20% of the World's Oxygen,The Amazon Rainforest is often referred to as the 'lungs of the Earth' because it produces approximately 20% of the world's oxygen through photosynthesis.,Fact,19-01-2024
The Leaning Tower of Pisa Leans Due to Shifting Soil,"The Leaning Tower of Pisa leans because of unstable soil conditions. It was not originally intended to lean, but the tilt began during construction in the 12th century.",Fact,19-01-2024
Hummingbirds are the Only Birds Capable of Hovering,Hummingbirds are the only birds capable of sustained hovering due to their unique wing structure and rapid wing beats.,Fact,19-01-2024
The Sun is a G-Type Main Sequence Star,"The Sun is classified as a G-type main-sequence star, commonly known as a yellow dwarf. It plays a central role in our solar system.",Fact,20-01-2024
Honeybees Can Recognize Human Faces,"Research indicates that honeybees have the ability to recognize and remember human faces, showcasing their cognitive abilities.",Fact,20-01-2024
The Nile River is the Longest River in the World,"The Nile River holds the title of the longest river in the world, with a length of approximately 6,650 kilometers (4,130 miles).",Fact,20-01-2024
Caffeine is a Natural Pesticide in Coffee Plants,Coffee plants produce caffeine as a natural pesticide. The substance acts as a defense mechanism against insects that may try to consume the plant.,Fact,20-01-2024
"Whales Are Mammals, Not Fish","Whales are marine mammals, not fish. They belong to the group of mammals known as cetaceans and share a common ancestor with land mammals.",Fact,20-01-2024

